date,time_out,time_in,am_or_pm,diff,shit,urine,ind,notes
7-Dec,1:18,1:30,pm,,1,0,N/A,
7-Dec,3:00,3:20,pm,,0,0,N/A,
8-Dec,12:24,12:32,am,,1,0,N/A,
8-Dec,9:18,9:25,am,,1,1,N/A,
8-Dec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9-Dec,4:20,4:40,pm,,1,0,N/A,
9-Dec,6:00,6:15,pm,,1,0,N/A,
9-Dec,8:00,8:14,pm,,0,1,N/A,
9-Dec,11:50,12:05,pm,,0,0,N/A,
10-Dec,8:30,8:50,am,,0,0,N/A,
10-Dec,11:26,11:32,am,,0,1,N/A,
10-Dec,12:45,1:07,pm,,0,0,N/A,
10-Dec,3:20,3:28,pm,,0,0,N/A,
10-Dec,6:00,6:10,pm,,0,1,N/A,
10-Dec,10:30,10:50,pm,,0,1,N/A,
11-Dec,7:00,7:10,am,,1,0,N/A,
11-Dec,1:32,1:40,pm,,1,1,N/A,
11-Dec,5:30,5:34,pm,,0,1,N/A,
11-Dec,9:00,9:10,pm,,1,1,N/A,
11-Dec,1:35,1:57,am,,0,1,N/A,
12-Dec,11:31,11:37,am,,0,1,N/A,
12-Dec,12:47,1:00,pm,,0,0,N/A,
12-Dec,5:37,5:49,pm,,1,1,N/A,
12-Dec,9:50,9:59,pm,,0,1,N/A,
13-Dec,9:50,5:58,am,,1,1,N/A,
13-Dec,11:42,11:49,am,,1,1,,
13-Dec,12:05,12:11,pm,,0,0,1,
13-Dec,5:14,5:20,pm,,1,1,,
13-Dec,11:30,11:40,pm,,0,1,,
14-Dec,9:18,9:24,am,,0,1,,
14-Dec,11:24,11:40,am,,1,1,1,
14-Dec,6:04,6:14,pm,,0,1,1,
15-Dec,10:40,10:59,am,,0,1,1,
15-Dec,1:10,1:19,pm,,0,1,2,
15-Dec,5:19,5:30,pm,,0,1,1,
15-Dec,9:42,9:49,pm,,1,1,1,
16-Dec,9:34,9:44,am,,0,1,0,
16-Dec,N/A,N/A,,N/A,N/A,N/A,N/A,
16-Dec,6:17,6:27,pm,,1,1,1,
16-Dec,7:35,7:46,pm,,0,1,2,
17-Dec,9:55,10:00,am,,0,1,1,
17-Dec,11:14,11:23,am,,1,1,2,
17-Dec,3:01,3:07,pm,,0,1,1,
17-Dec,6:25,6:31,pm,,0,1,1,
17-Dec,9:06,9:18,pm,,1,1,1,
18-Dec,8:38,8:49,am,,1,1,1,
18-Dec,11:20,11:25,am,,1,1,1,
18-Dec,1:08,1:15,pm,,0,1,2,
18-Dec,4:35,4:57,pm,,0,1,1,
18-Dec,8:35,8:51,pm,,1,1,2,
19-Dec,10:07,10:14,am,,0,1,1,
19-Dec,5:37,5:48,pm,,0,1,1,
19-Dec,10:50,10:56,pm,,0,1,1,
20-Dec,10:28,10:34,am,,0,1,,
20-Dec,12:52,1:00,pm,,1,1,2,
20-Dec,3:36,3:41,pm,,0,1,2,
20-Dec,N/A,N/A,pm,N/A,N/A,N/A,N/A,
21-Dec,11:50,11:55,am,,1,0,2,
21-Dec,1:17,1:33,pm,,1,1,2,
21-Dec,6:00,6:07,pm,,0,1,0,
21-Dec,10:04,10:11,pm,,0,1,1,
22-Dec,1:20,1:32,am,,1,1,1,
22-Dec,10:25,10:34,am,,1,1,2,
22-Dec,12:40,12:45,pm,,0,1,2,
22-Dec,4:30,4:40,pm,,0,1,0,
22-Dec,8:36,8:45,pm,,0,1,1,
22-Dec,11:35,11:46,pm,,1,1,1,
23-Dec,11:05,11:17,am,,0,1,0,
23-Dec,12:46,12:50,pm,,0,1,1,
23-Dec,4:13,4:21,pm,,0,1,0,
24-Dec,9:50,10:05,am,,0,1,0,
24-Dec,10:34,10:39,am,,1,1,0,
24-Dec,4:48,4:58,pm,,1,1,0,
24-Dec,8:42,8:55,pm,,0,1,2,
25-Dec,12:31,12:40,pm,,0,0,0,
25-Dec,6:58,7:00,pm,,0,1,1,
25-Dec,7:26,7:37,pm,,1,1,2,
26-Dec,1:28,N/A,am,,N/A,N/A,1,
26-Dec,11:19,11:25,am,,0,1,2,
26-Dec,2:00,2:15,pm,,N/A,N/A,N/A,
26-Dec,8:44,8:56,pm,,1,1,1,
27-Dec,9:50,N/A,am,,N/A,N/A,1,
27-Dec,1:50,N/A,pm,,N/A,N/A,1,
27-Dec,1:55,2:03,pm,,1,1,1,
27-Dec,9:15,N/A,pm,,N/A,N/A,1,
28-Dec,9:40,9:47,am,,0,1,1,
28-Dec,12:29,N/A,pm,,N/A,N/A,1,
28-Dec,6:15,N/A,pm,,N/A,N/A,N/A,
28-Dec,8:45,8:49,pm,,N/A,N/A,N/A,
29-Dec,10:43,10:55,am,,0,1,1,
29-Dec,11:30,11:42,am,,1,1,2,
29-Dec,5:38,5:46,pm,,1,1,0,
30-Dec,12:01,12:10,am,,1,0,0,
30-Dec,11:08,11:20,am,,0,0,1,
30-Dec,2:11,2:18,pm,,0,1,2,
31-Dec,1:03,1:10,am,,0,0,,
31-Dec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
31-Dec,N/A,N/A,pm,N/A,N/A,N/A,N/A,*no record keep from hospital
10-Jan,9:00,9:15,am,,0,1,1,
10-Jan,12:15,12:27,pm,,0,1,1,
10-Jan,2:56,3:04,pm,,0,1,2,
10-Jan,10:30,10:44,pm,,1,0,1,
11-Jan,12:09,N/A,am,N/A,N/A,N/A,N/A,
11-Jan,8:31,8:42,am,,0,1,1,
11-Jan,12:21,12:40,pm,,0,1,1,
11-Jan,2:47,2:56,pm,,1,1,2,
11-Jan,7:42,7:58,pm,,1,1,1,
11-Jan,10:30,10:41,pm,,N/A,N/A,N/A,
12-Jan,8:21,8:32,am,,0,1,1,
12-Jan,3:05,3:21,pm,,0,1,0,
12-Jan,4:23,4:38,pm,,1,1,2,
13-Jan,8:53,9:03,am,,0,1,0,
13-Jan,12:00,12:07,pm,,0,1,1,
13-Jan,3:09,3:19,pm,,0,1,2,
13-Jan,4:06,4:18,pm,,0,1,1,
13-Jan,9:01,9:11,pm,,0,1,1,
13-Jan,10:57,11:05,pm,,0,1,2,
14-Jan,9:28,9:36,am,,0,1,1,*dog park day
14-Jan,9:53,10:06,pm,,1,0,2,
15-Jan,9:56,10:06,am,,0,1,0,
15-Jan,12:06,12:17,pm,,0,1,0,
15-Jan,4:49,4:45,pm,,0,1,2,
15-Jan,8:17,N/A,pm,N/A,N/A,N/A,`,
16-Jan,10:26,10:30,am,,0,1,1,
16-Jan,7:49,7:59,pm,,0,1,0,
16-Jan,9:30,9:41,pm,,0,1,1,
16-Jan,10:39,10:46,pm,,0,0,2,
17-Jan,1:20,1:35,pm,,1,1,1,
17-Jan,4:40,4:50,pm,,0,1,0,
17-Jan,7:48,7:59,pm,,0,1,0,
17-Jan,9:00,9:05,pm,,0,1,1,
18-Jan,10:46,10:56,am,,0,1,1,*sick pup
18-Jan,11:43,11:50,am,,1,1,1,
18-Jan,2:19,2:28,pm,,0,1,1,
18-Jan,4:53,5:01,pm,,0,1,2,
18-Jan,7:32,7:44,pm,,0,1,2,
18-Jan,10:04,N/A,pm,,N/A,N/A,1,
19-Jan,9:28,9:41,am,,0,1,1,
19-Jan,12:01,12:07,pm,,0,1,1,
19-Jan,1:57,2:08,pm,,0,1,0,
19-Jan,3:23,N/A,pm,,1,1,1,
19-Jan,10:38,10:47,pm,,0,1,1,
19-Jan,10:50,11:00,pm,,0,1,0,
20-Jan,10:04,10:14,am,,0,1,1,
20-Jan,11:10,11:22,am,,1,1,2,
20-Jan,5:05,5:10,pm,,0,1,1,*went to vet
20-Jan,5:18,5:25,pm,,1,0,2,
20-Jan,10:15,10:25,pm,,0,1,0,
21-Jan,10:14,10:31,am,,0,1,1,
21-Jan,11:32,11:45,am,,1,1,2,
21-Jan,2:11,2:20,pm,,0,1,2,
21-Jan,5:40,5:55,pm,,0,1,0,
21-Jan,11:01,11:11,pm,,0,1,2,
22-Jan,10:10,10:19,am,,0,1,2,
22-Jan,10:40,10:55,am,,1,1,2,
22-Jan,6:19,N/A,pm,,0,1,0,
22-Jan,9:54,N/A,pm,,N/A,N/A,1,
23-Jan,8:16,8:23,am,,0,1,1,
23-Jan,9:08,9:14,am,,N/A,N/A,2,
23-Jan,11:19,11:26,am,,0,1,2,
23-Jan,5:27,5:37,pm,,1,1,1,
23-Jan,9:37,9:45,pm,,0,1,0,
24-Jan,9:40,9:45,am,,0,1,1,
24-Jan,10:41,10:46,am,,0,1,0,
24-Jan,2:14,2:28,pm,,1,1,1,
24-Jan,5:45,5:45,pm,,0,0,1,
24-Jan,8:42,N/A,pm,,N/A,N/A,1,
25-Jan,9:55,10:12,am,,1,1,1,
25-Jan,N/A,N/A,,,N/A,N/A,N/A,
25-Jan,7:35,7:46,pm,,1,1,1,
25-Jan,11:49,11:54,pm,,0,1,1,
26-Jan,11:34,N/A,am,,0,1,0,
26-Jan,4:29,4:36,pm,,0,1,0,
26-Jan,4:49,4:46,pm,,1,1,2,
26-Jan,9:24,9:32,pm,,0,1,1,
27-Jan,9:57,10:11,am,,1,1,1,
27-Jan,2:52,2:59,pm,,0,1,1,
27-Jan,3:00,3:12,pm,,0,1,0,
27-Jan,5:36,5:47,pm,,1,1,1,
27-Jan,7:09,7:20,pm,,0,1,0,
28-Jan,10:28,10:38,am,,0,1,1,
28-Jan,12:30,12:34,pm,,0,1,0,
28-Jan,4:34,4:50,pm,,1,1,0,
28-Jan,11:04,11:12,pm,,0,1,0,
29-Jan,10:07,10:18,am,,0,1,0,
29-Jan,10:25,,am,,0,0,0,
29-Jan,1:32,1:45,pm,,0,1,1,*play after shit
29-Jan,4:45,4:52,pm,,0,1,1,
29-Jan,8:06,8:19,pm,,0,1,1,
30-Jan,10:14,10:25,am,,0,1,1,
30-Jan,11:50,N/A,am,,1,0,2,
30-Jan,1:27,1:37,pm,,0,1,1,
30-Jan,1:53,2:00,pm,,1,0,2,
30-Jan,6:04,6:06,pm,,0,1,1,
30-Jan,10:52,11:06,pm,,0,1,0,
30-Jan,11:07,11:11,pm,,1,1,2,
31-Jan,9:27,,am,,0,1,1,
31-Jan,10:32,10:37,am,,0,1,1,
31-Jan,10:49,,am,,0,1,1,
31-Jan,11:01,11:12,am,,1,1,1,
31-Jan,6:08,6:18,pm,,0,1,0,
31-Jan,9:38,9:50,pm,,0,1,1,
1-Feb,9:09,9:21,am,,1,1,1,
1-Feb,11:10,11:15,am,,0,1,0,
1-Feb,1:48,1:52,pm,,0,1,1,
1-Feb,11:39,11:42,pm,,0,1,1,
2-Feb,9:10,,am,,0,1,0,
2-Feb,9:51,10:00,am,,0,1,0,
2-Feb,10:38,10:47,am,,0,1,,
2-Feb,12:13,N/A,pm,,0,1,0,*inside play after whine
2-Feb,1:28,1:34,pm,,1,0,1,
2-Feb,6:13,6:24,pm,,0,1,0,
3-Feb,8:53,9:04,am,,1,1,0,
3-Feb,11:16,11:21,am,,0,1,0,
3-Feb,1:48,1:53,pm,,0,1,1,
3-Feb,1:56,2:02,pm,,0,0,1,
3-Feb,3:04,3:08,pm,,0,1,2,
3-Feb,4:28,4:41,pm,,1,0,2,
4-Feb,9:13,9:16,am,,0,1,1,
4-Feb,11:21,11:29,am,,0,1,0,
4-Feb,11:46,11:50,am,,0,1,1,
4-Feb,2:01,2:25,pm,,1,1,0,*run/jog
4-Feb,4:47,5:01,pm,,0,0,1,
4-Feb,9:15,9:25,pm,,0,1,0,
5-Feb,9:22,9:26,am,,0,1,0,
5-Feb,12:10,12:19,pm,,0,1,0,
5-Feb,2:07,2:16,pm,,0,1,1,
5-Feb,4:46,5:00,pm,,1,1,0,
5-Feb,8:42,N/A,pm,,0,1,1,
5-Feb,N/A,11:53,pm,,0,1,1,
6-Feb,8:30,8:40,am,,0,1,0,
6-Feb,8:50,9:02,am,,1,0,0,
6-Feb,11:59,12:09,pm,,0,1,0,
6-Feb,12:00,12:20,pm,,0,0,0,
6-Feb,3:46,3:47,pm,,0,1,1,
6-Feb,N/A,N/A,pm,N/A,N/A,N/A,N/A,
6-Feb,10:21,10:25,pm,,0,1,0,
7-Feb,9:15,9:31,am,,1,1,0,
7-Feb,11:08,11:23,am,,0,1,0,
7-Feb,N/A,3:03,pm,,0,1,0,
7-Feb,N/A,N/A,pm,,1,1,1,
7-Feb,10:20,10:29,pm,,0,0,0,
8-Feb,12:07,12:13,pm,,0,1,1,
8-Feb,1:00,1:06,pm,,1,0,2,
8-Feb,9:20,9:29,pm,,0,1,0,
9-Feb,8:16,8:20,am,,0,1,0,
9-Feb,8:50,8:55,am,,1,0,2,
9-Feb,11:10,11:30,am,,0,1,,
9-Feb,12:00,12:12,pm,,0,0,,
9-Feb,1:45,1:52,pm,,0,1,2,
9-Feb,2:04,2:07,pm,,1,0,1,
9-Feb,6:26,6:44,pm,,0,1,0,
9-Feb,8:47,N/A,pm,,N/A,N/A,N/A,
10-Feb,9:15,N/A,am,,0,1,1,
10-Feb,10:36,10:47,am,,0,1,2,
10-Feb,1:34,1:47,pm,,1,1,0,
